investigation_id,source_type,source_name,endpoint_or_page,status,result_summary,records_or_counts,outputs,checked_date,remarks
1,road_inventory,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,success,의왕 경계 기반 highway 수집 및 필터링 완료,raw_way=10373;uiwang_segment=2665;named_road=362,uiwang_osm_roads_filtered.geojson|uiwang_osm_roads_segments.csv|uiwang_osm_stats.json,2026-04-07,의왕 경계 polygon 기반 필터
2,traffic,Gyeonggi OpenAPI getRoadInfoList,https://openapigits.gg.go.kr/api/rest/getRoadInfoList,success,노선 목록 수집 완료,route_count=152,gg_road_info_list.csv,2026-04-07,serviceKey 인증 성공
3,traffic,Gyeonggi OpenAPI getRoadTrafficInfoList,https://openapigits.gg.go.kr/api/rest/getRoadTrafficInfoList,success,노선별 소통정보 수집 완료,traffic_rows=24413,gg_road_traffic_info_list.csv,2026-04-07,타임아웃 재시도 적용
4,verification,Uiwang Boundary Validation,local_geometry_validation,success,전수검증 완료,inside=2479;crossing_boundary=186;outside=0;invalid=0,uiwang_road_boundary_validation.csv|uiwang_road_boundary_validation_summary.csv|uiwang_road_quality_checks.csv,2026-04-07,각 세그먼트 좌표와 경계 교차 검사
5,api_check,VWorld upisuq151 guide/API,https://www.vworld.kr/dev/v4dv_2ddataguide2_s002.do?svcIde=upisuq151,failed,본 환경에서 502,http_status=502,-,2026-04-07,키 형식 하이픈 유무와 무관하게 동일 실패
6,api_check,Korea Expressway trafficAll,https://data.ex.co.kr/openapi/trafficapi/trafficAll,failed,본 환경에서 443 연결 timeout,dns_ok=true;tcp_443_timeout=true,-,2026-04-07,DNS 해석은 성공했으나 TCP 연결 실패
7,traffic_retry,road.re itms_22 data/spot/road,https://www.road.re.kr/itms,success,재시도 수집 성공(추가매칭 0),road_rows=433;spot_rows=3331;selected_spot=277;added_match=0,roadre_uiwang_route_stats.csv|roadre_uiwang_spots_selected.csv|uiwang_traffic_data_coverage_roadre_retry.json,2026-04-07,호출 성공했으나 도메인 불일치로 coverage 개선 없음
8,recollect_script,Gyeonggi traffic recollect script,local_script:plus/build_gg_road_traffic_recollect.py,ready,route단위 재시도/병합 재수집 스크립트 작성,inputs=gg_road_info_list.csv;base_traffic_csv=gg_road_traffic_info_list.csv,build_gg_road_traffic_recollect.py,2026-04-07,실행 시 serviceKey 필요
9,road_inventory,OpenStreetMap Overpass drivable filter,local_script:plus/build_uiwang_osm_road_inventory.py,success,drivable 전용 재필터링 실행,raw_way=10373;drivable_segment=1918;named_road=340;total_km=416.214,uiwang_osm_roads_filtered_drivable.geojson|uiwang_osm_roads_segments_drivable.csv|uiwang_osm_stats_drivable.json,2026-04-07,--drivable-only 재실행 완료
10,traffic_inference,UIWANG traffic inference,local_script:plus/build_uiwang_road_traffic_infer.py,success,관측 매칭 공백 추정 보강 실행,observed=305;inferred=1614;effective_coverage_pct=72.01;drivable_effective_pct=100.0,uiwang_all_roads_with_traffic_inferred.csv|uiwang_all_roads_with_traffic_lines_inferred.geojson|uiwang_traffic_data_coverage_inferred.json,2026-04-07,inferred 결과 재실행 완료
11,candidate_scoring,Grid candidate scoring inferred,local_script:second report/gpt/build_uiwang_grid_candidates_with_roads.py,success,inferred 도로 입력으로 후보지 재산출,grid_size_m=30;grid_rows=60417;roads=2665,this_uiwang_grid_score_30m_equal_inferred.gpkg|this_uiwang_grid_score_30m_weighted_inferred.gpkg,2026-04-07,--roads-path inferred + --output-tag inferred
